id,category,answer_ko,answer_en,acceptable_answers,difficulty,image_url,image_source,photographer,license,suggested_image_query,hint_1,hint_2,hint_3,hint_4,hint_5,explanation,status
MEGA-001,대도시,도쿄,Tokyo,"도쿄, 동경, tokyo",easy,,,,,Tokyo city street skyline landmark,이곳은 동아시아에 있습니다.,일본에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,세계적인 초대형 도시권으로 알려져 있습니다.,일본의 수도입니다.,도쿄는 일본의 도시입니다. 세계적인 초대형 도시권으로 알려져 있습니다. 일본의 수도입니다.,텍스트초안
MEGA-002,대도시,서울,Seoul,"서울, seoul",easy,,,,,Seoul city street skyline landmark,이곳은 동아시아에 있습니다.,대한민국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,한강을 중심으로 성장한 대도시입니다.,대한민국의 수도입니다.,서울는 대한민국의 도시입니다. 한강을 중심으로 성장한 대도시입니다. 대한민국의 수도입니다.,텍스트초안
MEGA-003,대도시,뉴욕,New York,"뉴욕, new york, nyc, new york city",easy,,,,,New York city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"금융, 문화, 미디어의 중심지로 유명합니다.",맨해튼과 자유의 여신상으로 잘 알려져 있습니다.,"뉴욕는 미국의 도시입니다. 금융, 문화, 미디어의 중심지로 유명합니다. 맨해튼과 자유의 여신상으로 잘 알려져 있습니다.",텍스트초안
MEGA-004,대도시,파리,Paris,"파리, paris",easy,,,,,Paris city street skyline landmark,이곳은 서유럽에 있습니다.,프랑스에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"예술, 패션, 미식으로 유명한 도시입니다.",에펠탑과 루브르 박물관으로 유명합니다.,"파리는 프랑스의 도시입니다. 예술, 패션, 미식으로 유명한 도시입니다. 에펠탑과 루브르 박물관으로 유명합니다.",텍스트초안
MEGA-005,대도시,런던,London,"런던, london",easy,,,,,London city street skyline landmark,이곳은 서유럽에 있습니다.,영국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,템스강을 중심으로 발달한 역사 도시입니다.,영국의 수도입니다.,런던는 영국의 도시입니다. 템스강을 중심으로 발달한 역사 도시입니다. 영국의 수도입니다.,텍스트초안
MEGA-006,대도시,상하이,Shanghai,"상하이, 상해, shanghai",normal,,,,,Shanghai city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,황푸강 주변의 스카이라인이 유명합니다.,중국의 대표적인 경제 중심 도시입니다.,상하이는 중국의 도시입니다. 황푸강 주변의 스카이라인이 유명합니다. 중국의 대표적인 경제 중심 도시입니다.,텍스트초안
MEGA-007,대도시,이스탄불,Istanbul,"이스탄불, istanbul",normal,,,,,Istanbul city street skyline landmark,이곳은 유럽과 아시아의 경계에 있습니다.,튀르키예에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,두 대륙을 잇는 해협 도시입니다.,보스포루스 해협과 아야 소피아로 유명합니다.,이스탄불는 튀르키예의 도시입니다. 두 대륙을 잇는 해협 도시입니다. 보스포루스 해협과 아야 소피아로 유명합니다.,텍스트초안
MEGA-008,대도시,방콕,Bangkok,"방콕, bangkok",normal,,,,,Bangkok city street skyline landmark,이곳은 동남아시아에 있습니다.,태국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"왕궁, 사원, 수상 교통이 함께 떠오르는 도시입니다.",태국의 수도입니다.,"방콕는 태국의 도시입니다. 왕궁, 사원, 수상 교통이 함께 떠오르는 도시입니다. 태국의 수도입니다.",텍스트초안
MEGA-009,대도시,멕시코시티,Mexico City,"멕시코시티, 멕시코 시티, mexico city",normal,,,,,Mexico City city street skyline landmark,이곳은 북아메리카에 있습니다.,멕시코에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,고원 지대에 자리 잡은 거대한 수도권입니다.,멕시코의 수도입니다.,멕시코시티는 멕시코의 도시입니다. 고원 지대에 자리 잡은 거대한 수도권입니다. 멕시코의 수도입니다.,텍스트초안
MEGA-010,대도시,카이로,Cairo,"카이로, cairo",normal,,,,,Cairo city street skyline landmark,이곳은 북아프리카에 있습니다.,이집트에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,나일강과 고대 문명 이미지가 강한 도시입니다.,기자 피라미드와 가까운 이집트의 수도입니다.,카이로는 이집트의 도시입니다. 나일강과 고대 문명 이미지가 강한 도시입니다. 기자 피라미드와 가까운 이집트의 수도입니다.,텍스트초안
MEGA-011,대도시,베이징,Beijing,"베이징, 북경, beijing",easy,,,,,Beijing city street skyline landmark,이곳은 동아시아에 있습니다.,중국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,오래된 궁궐과 현대 도시 기능이 공존합니다.,중국의 수도입니다.,베이징는 중국의 도시입니다. 오래된 궁궐과 현대 도시 기능이 공존합니다. 중국의 수도입니다.,텍스트초안
MEGA-012,대도시,델리,Delhi,"델리, delhi, new delhi, 뉴델리",normal,,,,,Delhi city street skyline landmark,이곳은 남아시아에 있습니다.,인도에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,인도 북부의 거대한 도시권입니다.,인도의 수도권을 이루는 핵심 도시입니다.,델리는 인도의 도시입니다. 인도 북부의 거대한 도시권입니다. 인도의 수도권을 이루는 핵심 도시입니다.,텍스트초안
MEGA-013,대도시,뭄바이,Mumbai,"뭄바이, mumbai, bombay, 봄베이",normal,,,,,Mumbai city street skyline landmark,이곳은 남아시아에 있습니다.,인도에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,영화 산업과 항구 도시 이미지가 강합니다.,인도 서부의 대표 경제 도시입니다.,뭄바이는 인도의 도시입니다. 영화 산업과 항구 도시 이미지가 강합니다. 인도 서부의 대표 경제 도시입니다.,텍스트초안
MEGA-014,대도시,상파울루,Sao Paulo,"상파울루, sao paulo, são paulo",normal,,,,,Sao Paulo city street skyline landmark,이곳은 남아메리카에 있습니다.,브라질에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,남반구의 대표적인 경제 대도시입니다.,브라질 최대 도시로 알려져 있습니다.,상파울루는 브라질의 도시입니다. 남반구의 대표적인 경제 대도시입니다. 브라질 최대 도시로 알려져 있습니다.,텍스트초안
MEGA-015,대도시,자카르타,Jakarta,"자카르타, jakarta",normal,,,,,Jakarta city street skyline landmark,이곳은 동남아시아에 있습니다.,인도네시아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,섬나라의 거대한 수도권입니다.,인도네시아의 수도 기능을 가진 도시입니다.,자카르타는 인도네시아의 도시입니다. 섬나라의 거대한 수도권입니다. 인도네시아의 수도 기능을 가진 도시입니다.,텍스트초안
MEGA-016,대도시,마닐라,Manila,"마닐라, manila",normal,,,,,Manila city street skyline landmark,이곳은 동남아시아에 있습니다.,필리핀에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,만을 끼고 성장한 대도시권입니다.,필리핀의 수도입니다.,마닐라는 필리핀의 도시입니다. 만을 끼고 성장한 대도시권입니다. 필리핀의 수도입니다.,텍스트초안
MEGA-017,대도시,라호르,Lahore,"라호르, lahore",hard,,,,,Lahore city street skyline landmark,이곳은 남아시아에 있습니다.,파키스탄에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,무굴 시대 유산과 현대 도시가 공존합니다.,파키스탄 펀자브 지방의 대표 도시입니다.,라호르는 파키스탄의 도시입니다. 무굴 시대 유산과 현대 도시가 공존합니다. 파키스탄 펀자브 지방의 대표 도시입니다.,텍스트초안
MEGA-018,대도시,카라치,Karachi,"카라치, karachi",hard,,,,,Karachi city street skyline landmark,이곳은 남아시아에 있습니다.,파키스탄에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,아라비아해에 접한 항구 도시입니다.,파키스탄 최대 도시로 알려져 있습니다.,카라치는 파키스탄의 도시입니다. 아라비아해에 접한 항구 도시입니다. 파키스탄 최대 도시로 알려져 있습니다.,텍스트초안
MEGA-019,대도시,다카,Dhaka,"다카, dhaka",normal,,,,,Dhaka city street skyline landmark,이곳은 남아시아에 있습니다.,방글라데시에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,인구 밀도가 매우 높은 도시권입니다.,방글라데시의 수도입니다.,다카는 방글라데시의 도시입니다. 인구 밀도가 매우 높은 도시권입니다. 방글라데시의 수도입니다.,텍스트초안
MEGA-020,대도시,모스크바,Moscow,"모스크바, moscow",easy,,,,,Moscow city street skyline landmark,이곳은 동유럽/북아시아에 있습니다.,러시아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,붉은 광장과 크렘린이 상징적입니다.,러시아의 수도입니다.,모스크바는 러시아의 도시입니다. 붉은 광장과 크렘린이 상징적입니다. 러시아의 수도입니다.,텍스트초안
