question,choice1,choice2,choice3,choice4,answer,category,difficulty
"세계에서 가장 긴 강은?","아마존강","나일강","양쯔강","미시시피강",2,"지리",2
"금속 중 상온에서 액체 상태인 것은?","수은","철","납","알루미늄",1,"과학",2
"임진왜란이 일어난 해는?","1636년","1610년","1550년","1592년",4,"역사",2
"'죄와 벌'을 쓴 러시아 작가는?","톨스토이","고골","체호프","도스토옙스키",4,"문학",2
"피타고라스의 정리는 어떤 삼각형에서 성립하는가?","둔각삼각형","정삼각형","직각삼각형","모든 삼각형",3,"수학",2
"무지개는 몇 가지 색으로 이루어져 있는가?","5가지","7가지","8가지","6가지",2,"상식",1
"'모나리자'를 그린 화가는?","미켈란젤로","라파엘로","레오나르도 다빈치","고흐",3,"예술",1
"축구 경기에서 한 팀의 선수는 몇 명인가?","11명","10명","12명","9명",1,"스포츠",1
"세계에서 가장 높은 산은?","K2","몽블랑","킬리만자로","에베레스트",4,"지리",1
"소금의 화학식은?","NaCl","H2O","CO2","KCl",1,"과학",1
"세종대왕이 훈민정음을 반포한 세기는?","14세기","15세기","16세기","17세기",2,"역사",2
"'어린 왕자'의 작가는?","위고","카뮈","사르트르","생텍쥐페리",4,"문학",2
"정삼각형의 한 내각의 크기는?","45도","90도","120도","60도",4,"수학",1
"우리나라 국경일 중 3·1운동을 기념하는 날은?","제헌절","광복절","개천절","삼일절",4,"상식",1
"베토벤은 어느 나라 작곡가인가?","오스트리아","독일","이탈리아","프랑스",2,"예술",2
"야구에서 한 이닝의 아웃 카운트는 몇 개인가?","3개","2개","4개","5개",1,"스포츠",1
"오대양 중 가장 넓은 바다는?","대서양","북극해","인도양","태평양",4,"지리",2
"식물이 광합성을 하는 데 필요한 기체는?","산소","질소","이산화탄소","수소",3,"과학",1
"광복절은 몇 월 며칠인가?","3월 1일","6월 25일","10월 9일","8월 15일",4,"역사",1
"'토지'를 쓴 한국 소설가는?","이문열","황순원","박경리","김유정",3,"문학",2
"12 × 12는 얼마인가?","124","168","148","144",4,"수학",1
"신호등에서 멈춤을 뜻하는 색은?","빨강","노랑","초록","파랑",1,"상식",1
"'해바라기'를 그린 화가는?","고흐","피카소","모네","마네",1,"예술",2
"농구 한 팀의 코트 위 선수는 몇 명인가?","4명","7명","6명","5명",4,"스포츠",1
"이탈리아의 수도는?","밀라노","로마","베네치아","나폴리",2,"지리",1
"인체에서 산소를 운반하는 세포는?","백혈구","적혈구","혈소판","림프구",2,"과학",2
"조선의 제4대 왕은 누구인가?","태조","태종","세종","성종",3,"역사",2
"'로미오와 줄리엣'의 작가는?","괴테","셰익스피어","단테","밀턴",2,"문학",1
"원주율(파이)의 근삿값으로 가장 알맞은 것은?","1.62","2.71","1.41","3.14",4,"수학",1
"교통 신호에서 보행자가 건너도 좋다는 신호의 색은?","파랑","빨강","노랑","초록",4,"상식",1
"오케스트라를 지휘하는 사람을 무엇이라 하는가?","지휘자","작곡가","연주자","성악가",1,"예술",1
"마라톤 정식 거리는 약 몇 km인가?","21km","42km","32km","52km",2,"스포츠",2
"세계에서 가장 작은 대륙은?","유럽","아프리카","남극","오세아니아",4,"지리",2
"소리의 속도가 가장 빠른 매질은?","철","물","공기","진공",1,"과학",3
"3·1 운동이 일어난 해는?","1919년","1950년","1945년","1910년",1,"역사",2
"'노인과 바다'를 쓴 미국 작가는?","피츠제럴드","헤밍웨이","스타인벡","포크너",2,"문학",2
"7의 배수가 아닌 것은?","30","21","14","28",1,"수학",2
"우리나라 국화는 무엇인가?","장미","벚꽃","무궁화","진달래",3,"상식",1
"'천지창조'가 그려진 성당은?","시스티나 성당","성 베드로 대성당","노트르담","쾰른 대성당",1,"예술",3
